pid,fnm,lnm,hght,n,bx,by,bz,rt,rx,ry,rz,rv,rvx,rvy,rvz,mnv,mnvt,mnvx,mnvy,mnvz,mxv,mxvt,mxvx,mxvy,mxvz,ta1t,ta1x,ta1y,ta1z,ta2t,ta2x,ta2y,ta2z,at1t,at1x,at1y,at1z,at2t,at2x,at2y,at2z,lr1t,lr1x,lr1y,lr1z,lr2t,lr2x,lr2y,lr2z,rl1t,rl1x,rl1y,rl1z,rl2t,rl2x,rl2y,rl2z,pl,spl,plr
203496,Robert,Covington,79,503,-0.391781459,0.337263664,3.43916723,0.39,-0.005986807,-0.011133724,8.642945132,14.84517681,-7.170165506,0.682031589,12.98086415,9.281988203,0.239,0.249098032,-0.057278318,6.977265467,19.66457552,0.116,-0.551064267,0.31850837,5.258745358,0.071,-0.701548901,0.419138759,4.427692258,NA,NA,NA,NA,0.287,0.373256423,-0.108384869,7.452685257,NA,NA,NA,NA,0.284,0.372818188,-0.108584063,7.421431479,NA,NA,NA,NA,0.063,-0.695323956,0.421640216,4.300422892,NA,NA,NA,NA,5.616458847,5.229677113,1.073959008
201229,Anthony,Tolliver,80,500,2.690222909,-2.011838215,3.083366301,0.456,-0.050183137,-0.020869635,8.872401849,12.96843729,-7.538499677,0.023192471,10.55229125,6.145548191,0.381,0.260623998,0.036822246,8.268211865,21.68322515,0.176,1.479802607,-1.181098716,5.847314026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.039,2.459998534,-1.996678465,3.273642766,0.408,0.209172633,3.44E-04,8.44165925,0.032,2.488681458,-1.995769099,3.213711742,0.311,0.407854307,0.020535248,7.758689417,6.97608059,6.707213562,1.040086248
201976,Patrick,Beverley,73,500,-0.566413661,0.011875696,3.012553584,0.378,0.024821036,-0.014376868,7.670887301,13.5244102,-7.594366304,0.55121535,11.17727307,8.724175415,0.312,0.330460414,-0.041996584,7.014887011,18.99104125,0.117,-0.588447048,0.113076622,4.412625108,0.057,-0.744956396,0.109327279,3.441071673,NA,NA,NA,NA,0.291,0.346158048,-0.044928483,6.828972187,NA,NA,NA,NA,0.287,0.345465751,-0.045000849,6.792125754,NA,NA,NA,NA,0.088,-0.697213225,0.119899706,3.879978421,NA,NA,NA,NA,5.016923931,4.695776899,1.068390607
201166,Aaron,Brooks,72,499,0.535887267,0.50609726,2.698649138,0.465,-0.00555813,-0.002732185,7.872730302,13.95939835,-8.676718252,-0.51562617,10.92307156,6.881855274,0.391,0.446966438,0.066882761,7.227534704,19.82000087,0.193,-0.076027511,0.885380269,4.894397868,0.146,-0.230089402,1.013112672,4.025127895,NA,NA,NA,NA,0.342,0.539366323,0.174052491,6.848769296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.144,-0.229608365,1.0133706,3.993943204,NA,NA,NA,NA,6.051788609,5.227158541,1.157758764
203138,Hollis,Thompson,NA,499,-0.248982777,-0.077692956,3.663960257,0.397,0.025751371,-0.051537709,8.694353324,14.15977536,-8.334751713,0.519629276,11.43508363,9.584987827,0.327,0.448642312,-0.070306002,7.961281162,19.0939826,0.124,-0.255534092,0.259724936,5.273131352,0.065,-0.457868418,0.242588376,4.283415522,NA,NA,NA,NA,0.278,0.536344521,-0.051709535,7.466583328,NA,NA,NA,NA,0.323,0.46238766,-0.070394719,7.922930725,NA,NA,NA,NA,0.098,-0.383713083,0.27484881,4.787773829,NA,NA,NA,NA,5.484326969,5.037957657,1.088601243
202694,Marcus,Morris Sr.,80,496,-0.090126105,-0.121686275,3.484756609,0.469,-0.032303151,-0.039120799,8.657278604,13.64329007,-7.749552906,0.560086938,11.21472676,9.182275146,0.403,0.361206191,-0.064028096,7.993312667,17.92293781,0.203,0.01127699,0.403215781,5.511275138,0.116,-0.284344134,0.417518003,4.193948682,NA,NA,NA,NA,0.339,0.507770434,-0.0203485,7.355972518,NA,NA,NA,NA,0.396,0.389043274,-0.064498459,7.928979012,NA,NA,NA,NA,0.156,-0.234658023,0.495821249,4.72468778,NA,NA,NA,NA,5.787539333,5.173504068,1.118688467
2547,Chris,Bosh,83,493,0.173539281,0.273960053,3.600571985,0.593,-0.250232241,0.030742817,8.700946351,15.40644498,-2.803505738,0.61014354,15.13692926,Inf,NA,NA,NA,NA,15.33170132,0.546,-0.150369388,0.003909518,7.983491207,0.289,-0.16979065,-0.035523058,4.545320561,NA,NA,NA,NA,0.468,-0.098510959,-0.030231458,6.801550447,NA,NA,NA,NA,0.367,-0.141131648,-0.048151433,5.408517975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.525284419,5.123724778,1.078372602
2399,Mike,Dunleavy,81,492,0.742167901,0.795621591,3.268239933,0.428,-0.005495696,-0.010352817,8.642495203,12.75069781,-7.247685236,-0.125727027,10.48978294,10.03814424,0.388,0.238702436,0.005401617,8.234531294,17.73511753,0.195,0.148754163,0.331575885,5.586996624,0.132,0.005990136,0.487226454,4.515315511,NA,NA,NA,NA,0.302,0.46245373,0.103938898,7.305937782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.878896018,5.485546035,1.071706623
2546,Carmelo,Anthony,NA,490,0.302911665,0.118636965,3.317395808,0.388,-0.03945944,-0.047698024,9.044815007,14.48806098,-7.993967328,0.169423949,12.08187456,9.003207547,0.32,0.340727473,-0.04284973,8.334235312,24.22852828,0.117,-0.183354444,0.288081763,5.218367908,0.084,-0.237744022,0.297030319,4.449345139,NA,NA,NA,NA,0.271,0.413901492,-0.009385262,7.853015807,NA,NA,NA,NA,0.368,0.107888542,-0.049529825,8.808550732,NA,NA,NA,NA,0.092,-0.233666327,0.29814005,4.625563163,NA,NA,NA,NA,6.139266205,5.740053657,1.069548574
202322,John,Wall,76,489,-0.285336342,0.434273082,3.070878442,0.383,-0.015333655,0.002945081,7.367620196,15.33859013,-7.019053688,-0.2611445,13.63587313,8.910209466,0.248,0.145364077,0.166668578,5.988683605,14.6585107,0.118,-0.505254382,0.551699075,4.488392713,0.077,-0.604330063,0.592620357,3.905762421,NA,NA,NA,NA,0.303,0.232931022,0.058628994,6.493534702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.079,-0.603990933,0.592790215,3.932465414,NA,NA,NA,NA,4.656959725,4.32676958,1.076313319
